1. Luke Joeckel | 6'6, 306 pounds | Offensive tackle | Texas A&M * 
2. Star Lotulelei | 6'2 1/2, 311 pounds | Defensive tackle | Utah 
3. Chance Warmack | 6'2, 317 pounds | Guard | Alabama 
4. Eric Fisher | 6'7 1/4, 306 pounds | Offensive tackle | Central Michigan 
5. Sheldon Richardson | 6'2 1/2, 294 pounds | Defensive tackle | Missouri * 
6. Dee Milliner | 5'11 7/8, 201 pounds | Cornerback | Alabama * 
7. Barkevious Mingo | 6'4 1/4, 241 pounds | Outside linebacker/Defensive end | LSU * 
8. Jonathan Cooper | 6'2 1/8, 311 pounds | Guard | North Carolina 
9. Dion Jordan | 6'6 1/4, 248 pounds | Outside linebacker/Defensive end | Oregon 
10. Ezekiel Ansah | 6'5 1/4, 271 pounds | Defensive end | BYU 
11. Lane Johnson | 6'6, 303 pounds | Offensive tackle | Oklahoma 
12. Jarvis Jones | 6'2, 245 pounds | Outside linebacker | Georgia * 
13. Sharrif Floyd | 6'2 5'8, 297 pounds | Defensive tackle | Florida * 
14. Cornelius Carradine | 6'4 1/8, 276 pounds | Defensive end | Florida State 
15. Tyler Eifert | 6'5 1/2, 250 pounds | Tight end | Notre Dame 
16. DeAndre Hopkins | 6'1, 214 pounds | Wide receiver | Clemson *
17. Kenny Vaccaro | 6'1, 215 pounds | Safety | Texas 
18. Arthur Brown | 6'0, 241 pounds | Middle linebacker | Kansas State 
19. Keenan Allen | 6'2, 206 pounds | Wide receiver | California * 
20. Geno Smith | 6'2 3/8, 218 pounds | Quarterback | West Virginia 
21. Tavon Austin | 5'8 1/2, 174 pounds | Wide receiver | West Virginia 
22. Xavier Rhodes | 6'2, 217 pounds | Cornerback | Florida State * 
23. Jonathan Cyprien | 6'0, 210 pounds | Safety | Florida International 
24. D.J. Fluker | 6'4 5/8, 339 pounds | Offensive tackle | Alabama * 
25. Desmond Trufant | 5'11 5/8, 190 pounds | Cornerback | Washington 
26. D.J. Swearinger | 6'0, 212 pounds | Safety | South Carolina 
27. Cordarrelle Patterson | 6'1 7/8, 216 pounds | Wide receiver | Tennessee * 
28. Bjoern Werner | 6'3 1/4, 266 pounds | Defensive end | Florida State * 
29. Johnathan Hankins | 6'2 7/8, 320 pounds | Defensive tackle | Ohio State 
30. Alec Ogletree | 6'2 1/2, 242 pounds | Middle linebacker | Georgia * 
31. Jesse Williams | 6'3 3/8, 323 pounds | Defensive tackle | Alabama 
