3,Chance Warmack,C,1
8,Jonathan Cooper,C,2
18,Arthur Brown,C,3
30,Alec Ogletree,C,4
33,Larry Warford,C,5
42,Manti Te'o,C,6
62,Kevin Minter,C,7
63,Barrett Jones,C,8
65,Travis Frederick,C,9
80,Brian Schwenke,C,10
88,Dallas Thomas,C,11
89,Nico Johnson,C,12
97,Kiko Alonso,C,13
114,Jon Bostic,C,14
120,Hugh Thornton,C,15
123,Alvin Bailey,C,16
145,J.C. Tretter,C,17
160,Kevin Reddick,C,18
187,Travis Bond,C,19
188,A.J. Klein,C,20
196,Omoregie Uzzi,C,21
198,Steve Beauharnais,C,22
6,Dee Milliner,CB,1
22,Xavier Rhodes,CB,2
25,Desmond Trufant,CB,3
46,Logan Ryan,CB,4
47,Johnthan Banks,CB,5
55,Jamar Taylor,CB,6
59,Jordan Poyer,CB,7
61,Blidi Wreh-Wilson,CB,8
74,Darius Slay,CB,9
76,D.J. Hayden,CB,10
79,David Amerson,CB,11
84,Robert Alford,CB,12
113,B.W. Webb,CB,13
125,Will Davis,CB,14
128,Leon McFadden,CB,15
131,Tyrann Mathieu,CB,16
139,Mike Edwards,CB,17
147,Tharold Simon,CB,18
159,Steve Williams,CB,19
161,Adrian Bushell,CB,20
183,Johnny Adams,CB,21
186,Nickell Robey,CB,22
190,Dwayne Gratz,CB,23
197,Josh Johnson,CB,24
7,Barkevious Mingo,DE,1
9,Dion Jordan,DE,2
10,Ezekiel Ansah,DE,3
14,Cornelius Carradine,DE,4
28,Bjoern Werner,DE,5
32,Datone Jones,DE,6
38,Damontre Moore,DE,7
50,Alex Okafor,DE,8
66,Sam Montgomery,DE,9
68,Corey Lemonier,DE,10
70,Margus Hunt,DE,11
78,William Gholston,DE,12
121,Joe Kruger,DE,13
129,Malliciah Goodman,DE,14
134,Quanterus Smith,DE,15
150,John Simon,DE,16
158,Michael Buchanan,DE,17
167,Lavar Edwards,DE,18
171,Devin Taylor,DE,19
176,Stansly Maponga,DE,20
189,Damion Square,DE,21
193,Mike Catapano,DE,22
200,Trevardo Williams,DE,23
2,Star Lotulelei,DT,1
5,Sheldon Richardson,DT,2
13,Sharrif Floyd,DT,3
29,Johnathan Hankins,DT,4
31,Jesse Williams,DT,5
35,Sylvester Williams,DT,6
37,John Jenkins,DT,7
45,Kawann Short,DT,8
75,Bennie Logan,DT,9
82,Brandon Williams,DT,10
109,Akeem Spence,DT,11
112,Jordan Hill,DT,12
116,Kwame Geathers,DT,13
140,T.J. Barnes,DT,14
153,Everett Dawkins,DT,15
179,Chris Jones,DT,16
194,Adam Replogle,DT,17
94,Kyle Long,G,1
98,Brian Winters,G,2
12,Jarvis Jones,OLB,1
39,Jamie Collins,OLB,2
43,Khaseem Greene,OLB,3
49,Sio Moore,OLB,4
81,Brandon Jenkins,OLB,5
85,Chase Thomas,OLB,6
104,Jelani Jenkins,OLB,7
106,Gerald Hodges,OLB,8
132,Lerentee McCray,OLB,9
135,Cornelius Washington,OLB,10
146,Sean Porter,OLB,11
173,DeVonte Holloman,OLB,12
177,Jake Knott,OLB,13
180,Zaviar Gooden,OLB,14
1,Luke Joeckel,OT,1
4,Eric Fisher,OT,2
11,Lane Johnson,OT,3
24,D.J. Fluker,OT,4
54,Menelik Watson,OT,5
57,Justin Pugh,OT,6
67,Terron Armstead,OT,7
92,Oday Aboushi,OT,8
100,Jordan Mills,OT,9
111,Reid Fragel,OT,10
133,Brennan Williams,OT,11
144,Ricky Wagner,OT,12
163,Chris Faulk,OT,13
165,David Quessenberry,OT,14
170,Alex Hurst,OT,15
174,Xavier Nixon,OT,16
20,Geno Smith,Q,1
56,Matt Barkley,Q,2
77,Mike Glennon,Q,3
83,Tyler Wilson,Q,4
90,Tyler Bray,Q,5
96,Ryan Nassib,Q,6
99,E.J. Manuel,Q,7
103,Zac Dysert,Q,8
110,Matt Scott,Q,9
118,Landry Jones,Q,10
156,Sean Renfree,Q,11
44,Eddie Lacy,RB,1
52,Giovani Bernard,RB,2
58,Marcus Lattimore,RB,3
71,Johnathan Franklin,RB,4
86,Joseph Randle,RB,5
91,Andre Ellington,RB,6
93,Christine Michael,RB,7
107,Montee Ball,RB,8
127,Jawan Jamison,RB,9
136,Kenjon Barner,RB,10
141,Stepfan Taylor,RB,11
